2023-11-24 14:31:42,459 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoTopic.xml
2023-11-24 14:31:42,461 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 14:31:42,484 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-8544
2023-11-24 14:31:42,514 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-5569
2023-11-24 14:31:42,538 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 14:31:42,554 |main                 |EntitySaxReader               |I| Finished 6 values from Internal Content
2023-11-24 14:31:42,562 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-24 14:31:42,599 |main                 |EntitySaxReader               |I| Finished 6 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoTopic.xml
2023-11-24 14:31:42,599 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoTree.xml
2023-11-24 14:31:42,603 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 14:31:42,616 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-24 14:31:42,618 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 14:31:42,626 |main                 |EntitySaxReader               |I| Finished 3 values from Internal Content
2023-11-24 14:31:42,626 |main                 |EntitySaxReader               |I| Finished 3 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoTree.xml
2023-11-24 14:31:42,627 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoFactoids.xml
2023-11-24 14:31:42,629 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 14:31:42,640 |main                 |EntitySaxReader               |I| Finished 25 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoFactoids.xml
