2023-12-21 00:00:26,715 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [24637] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,716 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [24636] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,719 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [4] milliseconds
2023-12-21 00:00:26,719 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-21 00:00:26,720 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [4] milliseconds
2023-12-21 00:00:26,732 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [24635] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,735 |OFBiz-JobQueue-1     |PersistedServiceJob           |W| Persisted Job [20444] references a RecurrenceInfo, recommend using TemporalExpression instead
2023-12-21 00:00:26,748 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto Reconcile Financial Account] Id [20444] -- Next runtime: Tue Dec 26 00:00:00 IST 2023
2023-12-21 00:00:26,751 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-21 00:00:26,752 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [19] milliseconds
2023-12-21 00:00:26,760 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoFinAccountReconciliation] finished in [12] milliseconds
2023-12-21 00:00:26,762 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [24634] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,765 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-21 00:00:26,765 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [3] milliseconds
2023-12-21 00:00:26,769 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [24633] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,773 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [3] milliseconds
2023-12-21 00:00:26,781 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [24632] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,783 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [24631] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,785 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [2] milliseconds
2023-12-21 00:00:26,795 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [24630] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,796 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [15] milliseconds
2023-12-21 00:00:26,805 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [24629] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,812 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [5] milliseconds
2023-12-21 00:00:26,819 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [24628] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,821 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [2] milliseconds
2023-12-21 00:00:26,830 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [24627] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,833 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [2] milliseconds
2023-12-21 00:00:26,843 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [24626] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,845 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-21 00:00:26,846 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [3] milliseconds
2023-12-21 00:00:26,854 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [24625] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,860 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [6] milliseconds
2023-12-21 00:00:26,866 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [24624] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,960 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-21 00:00:26,960 |OFBiz-JobQueue-0     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-21 00:00:26,961 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [94] milliseconds
2023-12-21 00:00:26,961 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [165] milliseconds
2023-12-21 00:00:26,968 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [24623] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,969 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [24622] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:26,974 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [3] milliseconds
2023-12-21 00:00:26,983 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [24621] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:27,001 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [18] milliseconds
2023-12-21 00:00:27,012 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [24620] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:27,013 |OFBiz-JobQueue-0     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-21 00:00:27,014 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [2] milliseconds
2023-12-21 00:00:27,026 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [24619] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:27,414 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [444] milliseconds
2023-12-21 00:00:27,416 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [390] milliseconds
2023-12-21 00:00:27,423 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [24618] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:27,425 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-21 00:00:27,426 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [24617] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:27,426 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [3] milliseconds
2023-12-21 00:00:27,429 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [3] milliseconds
2023-12-21 00:00:27,434 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [24616] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:27,436 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-21 00:00:27,437 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [24615] -- Next runtime: Fri Dec 22 00:00:00 IST 2023
2023-12-21 00:00:27,437 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [3] milliseconds
2023-12-21 00:00:27,440 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [3] milliseconds
