2023-12-15 11:21:08,433 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18600
2023-12-15 11:21:08,433 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18250
2023-12-15 11:21:08,434 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18249
2023-12-15 11:21:08,434 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18248
2023-12-15 11:21:08,434 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18246
2023-12-15 11:21:08,434 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18245
2023-12-15 11:21:08,435 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18243
2023-12-15 11:21:08,435 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18242
2023-12-15 11:21:08,436 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18241
2023-12-15 11:21:08,436 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18240
2023-12-15 11:21:08,436 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18238
2023-12-15 11:21:08,436 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18236
2023-12-15 11:21:08,438 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18235
2023-12-15 11:21:08,438 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18234
2023-12-15 11:21:08,438 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18504
2023-12-15 11:21:08,438 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18507
2023-12-15 11:21:08,438 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18503
2023-12-15 11:21:08,438 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18421
2023-12-15 11:21:08,439 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18704
2023-12-15 11:21:08,439 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18698
2023-12-15 11:21:08,439 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18650
2023-12-15 11:21:08,439 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18505
2023-12-15 11:21:08,440 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18649
2023-12-15 11:21:08,440 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18508
2023-12-15 11:21:08,441 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18506
2023-12-15 11:21:08,441 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18699
2023-12-15 11:21:08,441 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18697
2023-12-15 11:21:08,441 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18700
2023-12-15 11:21:08,442 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18694
2023-12-15 11:21:08,443 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15873
2023-12-15 11:21:08,443 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18693
2023-12-15 11:21:08,443 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18696
2023-12-15 11:21:08,443 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18695
2023-12-15 11:21:08,444 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18692
