2023-12-19 18:51:22,991 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
2023-12-19 18:51:23,008 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_: set keyManagerAlgorithm=SunX509
2023-12-19 18:51:23,013 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreFile=framework/base/config/ofbizssl.jks
2023-12-19 18:51:23,014 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreType=JKS
2023-12-19 18:51:23,014 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyAlias=ofbiz
2023-12-19 18:51:23,015 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyPassword
2023-12-19 18:51:23,025 |main                 |CatalinaContainer             |I| Creating context [webpos]
2023-12-19 18:51:23,026 |main                 |CatalinaContainer             |I| Creating context [solr]
2023-12-19 18:51:23,027 |main                 |CatalinaContainer             |I| Creating context [scrumdemo]
2023-12-19 18:51:23,027 |main                 |CatalinaContainer             |I| Creating context [scrum]
2023-12-19 18:51:23,027 |main                 |CatalinaContainer             |I| Creating context [api-docs]
2023-12-19 18:51:23,027 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-12-19 18:51:23,027 |main                 |CatalinaContainer             |I| Creating context [projectmgr]
2023-12-19 18:51:23,028 |main                 |CatalinaContainer             |I| Creating context [pricatdemo]
2023-12-19 18:51:23,028 |main                 |CatalinaContainer             |I| Creating context [pricat]
2023-12-19 18:51:23,028 |main                 |CatalinaContainer             |I| Creating context [prashuDemo]
2023-12-19 18:51:23,028 |main                 |CatalinaContainer             |I| Creating context [passport]
2023-12-19 18:51:23,028 |main                 |CatalinaContainer             |I| Creating context [onlineexam]
2023-12-19 18:51:23,029 |main                 |CatalinaContainer             |I| Creating context [ofbizDemo]
2023-12-19 18:51:23,029 |main                 |CatalinaContainer             |I| Creating context [myportal]
2023-12-19 18:51:23,029 |main                 |CatalinaContainer             |I| Creating context [multiflex]
2023-12-19 18:51:23,029 |main                 |CatalinaContainer             |I| Creating context [msggateway]
2023-12-19 18:51:23,030 |main                 |CatalinaContainer             |I| Creating context [content]
