2023-12-27 18:17:02,122 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [10] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_billing.xml
2023-12-27 18:17:02,129 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [76] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_finaccount.xml
2023-12-27 18:17:02,146 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [16] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_admin.xml
2023-12-27 18:17:02,159 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [69] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_fixedasset.xml
2023-12-27 18:17:02,182 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [56] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_payment.xml
2023-12-27 18:17:02,191 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [95] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_paymentmethod.xml
2023-12-27 18:17:02,222 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [83] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_invoice.xml
2023-12-27 18:17:02,226 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [132] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_ledger.xml
2023-12-27 18:17:02,230 |kJoinPool-1-worker-4 |ModelService                  |W| DEPRECATED: the service deleteRateAmount has been deprecated and replaced by expireRateAmount, since Release 18.12
2023-12-27 18:17:02,235 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [10] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_cost.xml
2023-12-27 18:17:02,235 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [14] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_rate.xml
2023-12-27 18:17:02,244 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [6] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_authorizedotnet.xml
2023-12-27 18:17:02,250 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [31] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_tax.xml
2023-12-27 18:17:02,252 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [19] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_paymentgateway.xml
2023-12-27 18:17:02,260 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [9] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_sagepay.xml
2023-12-27 18:17:02,273 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [4] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_pccharge.xml
2023-12-27 18:17:02,277 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [6] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_clearcommerce.xml
2023-12-27 18:17:02,279 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [10] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_rita.xml
2023-12-27 18:17:02,285 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [11] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_verisign.xml
2023-12-27 18:17:02,298 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [5] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/services_orbital.xml
