2023-12-18 16:28:05,181 |main                 |SeoConfigUtil                 |I|   replacement: ss
2023-12-18 16:28:05,181 |main                 |SeoConfigUtil                 |I|   character-pattern: \\+
2023-12-18 16:28:05,181 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-18 16:28:05,181 |main                 |SeoConfigUtil                 |I|   character-pattern: \u0026
2023-12-18 16:28:05,181 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-18 16:28:05,181 |main                 |SeoConfigUtil                 |I|   character-pattern: è
2023-12-18 16:28:05,181 |main                 |SeoConfigUtil                 |I|   replacement: e
2023-12-18 16:28:05,181 |main                 |SeoConfigUtil                 |I|   character-pattern: [^A-Za-z0-9+-]
2023-12-18 16:28:05,181 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-18 16:28:05,182 |main                 |SeoConfigUtil                 |I|   character-pattern: -{2,}
2023-12-18 16:28:05,182 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-18 16:28:05,441 |main                 |ServiceDispatcher             |I| Registering dispatcher: marketing
2023-12-18 16:28:05,441 |main                 |ServiceContainer              |I| Created new dispatcher: marketing
2023-12-18 16:28:05,445 |main                 |ControlServlet                |I| Loading webapp [marketing], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\marketing\webapp\marketing\
2023-12-18 16:28:05,488 |main                 |ConfigXMLReader               |I| controller loaded: 0.007s, 91 requests, 48 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/marketing/webapp/marketing/WEB-INF/controller.xml
2023-12-18 16:28:05,713 |main                 |ServiceDispatcher             |I| Registering dispatcher: ofbizDemo
2023-12-18 16:28:05,713 |main                 |ServiceContainer              |I| Created new dispatcher: ofbizDemo
2023-12-18 16:28:05,715 |main                 |ControlServlet                |I| Loading webapp [ofbizDemo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\ofbizDemo\webapp\ofbizDemo\
2023-12-18 16:28:05,729 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 7 requests, 3 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ofbizDemo/webapp/ofbizDemo/WEB-INF/controller.xml
2023-12-18 16:28:05,762 |main                 |ServiceDispatcher             |I| Registering dispatcher: order
2023-12-18 16:28:05,763 |main                 |ServiceContainer              |I| Created new dispatcher: order
2023-12-18 16:28:05,764 |main                 |ControlServlet                |I| Loading webapp [ordermgr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\order\webapp\ordermgr\
2023-12-18 16:28:05,840 |main                 |ConfigXMLReader               |I| controller loaded: 0.015s, 347 requests, 134 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/content/webapp/content/WEB-INF/controller.xml
2023-12-18 16:28:05,856 |main                 |ConfigXMLReader               |I| controller loaded: 0.071s, 380 requests, 153 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/webapp/ordermgr/WEB-INF/controller.xml
2023-12-18 16:28:05,902 |main                 |ServiceDispatcher             |I| Registering dispatcher: ap
2023-12-18 16:28:05,902 |main                 |ServiceContainer              |I| Created new dispatcher: ap
2023-12-18 16:28:05,904 |main                 |ControlServlet                |I| Loading webapp [ap], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\accounting\webapp\ap\
2023-12-18 16:28:05,965 |main                 |ConfigXMLReader               |I| controller loaded: 0.012s, 518 requests, 247 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/webapp/accounting/WEB-INF/controller.xml
2023-12-18 16:28:05,965 |main                 |ConfigXMLReader               |I| controller loaded: 0.044s, 22 requests, 14 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/webapp/ap/WEB-INF/controller.xml
