2023-12-14 09:57:31,972 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [3] milliseconds
2023-12-14 09:57:31,977 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [18996] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:31,978 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [1] milliseconds
2023-12-14 09:57:31,983 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [18995] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:31,987 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [3] milliseconds
2023-12-14 09:57:31,989 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [162] milliseconds
2023-12-14 09:57:31,992 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [18994] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:31,994 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [2] milliseconds
2023-12-14 09:57:31,994 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [18993] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:31,999 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [18991] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,000 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-12-14 09:57:32,001 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-12-13 09:57:32.001]
2023-12-14 09:57:32,002 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [3] milliseconds
2023-12-14 09:57:32,007 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [18992] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,007 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-14 09:57:32,008 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [14] milliseconds
2023-12-14 09:57:32,011 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [3] milliseconds
2023-12-14 09:57:32,016 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [18983] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,018 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [2] milliseconds
2023-12-14 09:57:32,024 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [18988] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,026 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [1] milliseconds
2023-12-14 09:57:32,027 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [19013] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,029 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [1] milliseconds
2023-12-14 09:57:32,033 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [18986] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,034 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-14 09:57:32,035 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [1] milliseconds
2023-12-14 09:57:32,038 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [18987] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,038 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [18985] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,040 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [2] milliseconds
2023-12-14 09:57:32,045 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [18984] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,046 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-14 09:57:32,047 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [2] milliseconds
2023-12-14 09:57:32,048 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-14 09:57:32,048 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [10] milliseconds
2023-12-14 09:57:32,052 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [19011] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,054 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [18979] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,055 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [3] milliseconds
2023-12-14 09:57:32,056 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-14 09:57:32,057 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [3] milliseconds
2023-12-14 09:57:32,062 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [18980] -- Next runtime: Fri Dec 15 00:00:00 IST 2023
2023-12-14 09:57:32,064 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [19772] -- Next runtime: Thu Dec 14 10:57:32 IST 2023
2023-12-14 09:57:32,074 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [12] milliseconds
2023-12-14 09:57:32,080 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [19775] -- Next runtime: Thu Dec 14 10:57:32 IST 2023
2023-12-14 09:57:32,090 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-14 09:57:32,092 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-14 09:57:32,203 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [113] milliseconds
2023-12-14 09:57:32,204 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-14 09:57:32,205 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [140] milliseconds
2023-12-14 09:57:32,282 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [190] milliseconds
2023-12-14 09:57:32,282 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-14 09:57:32,283 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [201] milliseconds
2023-12-14 09:57:32,883 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [819] milliseconds
2023-12-14 09:57:32,887 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19784] -- Next runtime: Thu Dec 14 10:12:32 IST 2023
2023-12-14 09:57:34,217 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [2136] milliseconds
2023-12-14 09:57:34,223 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [19776] -- Next runtime: Thu Dec 14 10:57:34 IST 2023
2023-12-14 09:57:34,224 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-14 09:57:34,226 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [2] milliseconds
2023-12-14 09:57:34,227 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-14 09:57:34,227 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [4] milliseconds
2023-12-14 09:57:34,236 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [13] milliseconds
2023-12-14 09:57:34,243 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [19785] -- Next runtime: Thu Dec 14 10:12:34 IST 2023
2023-12-14 09:57:36,293 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [3406] milliseconds
2023-12-14 09:57:36,299 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19786] -- Next runtime: Thu Dec 14 10:12:36 IST 2023
2023-12-14 09:57:36,303 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [3] milliseconds
2023-12-14 09:57:37,746 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [3503] milliseconds
2023-12-14 10:13:01,940 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19825] -- Next runtime: Thu Dec 14 10:28:01 IST 2023
2023-12-14 10:13:01,985 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [19827] -- Next runtime: Thu Dec 14 10:28:01 IST 2023
2023-12-14 10:13:02,661 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [721] milliseconds
2023-12-14 10:13:02,666 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19828] -- Next runtime: Thu Dec 14 10:28:02 IST 2023
2023-12-14 10:13:02,668 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2] milliseconds
2023-12-14 10:13:03,348 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1363] milliseconds
2023-12-14 10:28:02,432 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19829] -- Next runtime: Thu Dec 14 10:43:02 IST 2023
2023-12-14 10:28:02,435 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [19830] -- Next runtime: Thu Dec 14 10:43:02 IST 2023
2023-12-14 10:28:03,119 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [687] milliseconds
2023-12-14 10:28:03,810 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1375] milliseconds
2023-12-14 10:28:32,460 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19831] -- Next runtime: Thu Dec 14 10:43:32 IST 2023
2023-12-14 10:28:33,180 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [720] milliseconds
2023-12-14 10:33:15,778 |jsse-nio-8443-exec-2 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-14 10:33:15,800 |jsse-nio-8443-exec-4 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-14 10:33:15,806 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-14 10:33:15,809 |jsse-nio-8443-exec-4 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-14 10:33:15,857 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-14 10:33:15,858 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.006s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-14 10:33:15,859 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.013s, 4 requests, 1 views in file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-14 10:33:15,861 |jsse-nio-8443-exec-4 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-14 10:33:15,865 |jsse-nio-8443-exec-4 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.LoginEvent#loginEvent] from [request], result is [error]
2023-12-14 10:33:15,872 |jsse-nio-8443-exec-4 |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-14 10:33:15,876 |jsse-nio-8443-exec-4 |SequenceUtil                  |I| Got bank of sequenced IDs for [ServerHitBin]; curSeqId=11090, maxSeqId=11100, bankSize=10
2023-12-14 10:33:15,878 |jsse-nio-8443-exec-4 |RequestHandler                |E| Request loginEvent caused an error with the following message: [username was empty reenter, password was empty reenter]
2023-12-14 10:33:15,879 |jsse-nio-8443-exec-4 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-14 10:33:15,880 |jsse-nio-8443-exec-4 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-14 10:33:15,883 |jsse-nio-8443-exec-4 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-14 10:33:15,891 |jsse-nio-8443-exec-4 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-14 10:33:15,896 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Done- total:0.089,since last([onlineexam::logi...):0.089]]
2023-12-14 10:33:17,801 |jsse-nio-8443-exec-8 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-14 10:33:17,803 |jsse-nio-8443-exec-8 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-14 10:33:17,803 |jsse-nio-8443-exec-8 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-14 10:33:17,808 |jsse-nio-8443-exec-8 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-14 10:33:17,809 |jsse-nio-8443-exec-8 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.LoginEvent#loginEvent] from [request], result is [error]
2023-12-14 10:33:17,810 |jsse-nio-8443-exec-8 |RequestHandler                |E| Request loginEvent caused an error with the following message: [username was empty reenter, password was empty reenter]
2023-12-14 10:33:17,810 |jsse-nio-8443-exec-8 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-14 10:33:17,810 |jsse-nio-8443-exec-8 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-14 10:33:17,812 |jsse-nio-8443-exec-8 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-14 10:33:17,814 |jsse-nio-8443-exec-8 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-14 10:33:17,816 |jsse-nio-8443-exec-8 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Done- total:0.013,since last([onlineexam::logi...):0.013]]
2023-12-14 10:36:12,721 |jsse-nio-8443-exec-4 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-14 10:36:12,727 |jsse-nio-8443-exec-8 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-14 10:36:12,728 |jsse-nio-8443-exec-8 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-14 10:36:12,728 |jsse-nio-8443-exec-8 |VisitHandler                  |I| Found visitorId [null] in cookie
