2023-11-24 14:14:39,036 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation None            [false]
2023-11-24 14:14:39,036 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation None            [false]
2023-11-24 14:14:39,036 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-11-24 14:14:39,036 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-11-24 14:14:39,036 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-11-24 14:14:39,037 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-11-24 14:14:39,037 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-11-24 14:14:39,037 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-11-24 14:14:39,037 |OFBiz-batch-1        |DatabaseUtil                  |I| - forward only type         [true]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - forward only type         [true]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - forward only type         [true]
2023-11-24 14:14:39,037 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-11-24 14:14:39,037 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-11-24 14:14:39,037 |OFBiz-batch-1        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-11-24 14:14:39,037 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-11-24 14:14:39,037 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-11-24 14:14:39,037 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-11-24 14:14:39,037 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-11-24 14:14:39,038 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-11-24 14:14:39,046 |OFBiz-batch-2        |DatabaseUtil                  |I| - max table name length     [63]
2023-11-24 14:14:39,046 |OFBiz-batch-1        |DatabaseUtil                  |I| - max table name length     [63]
2023-11-24 14:14:39,046 |OFBiz-batch-3        |DatabaseUtil                  |I| - max table name length     [63]
2023-11-24 14:14:39,046 |OFBiz-batch-2        |DatabaseUtil                  |I| - max column name length    [63]
2023-11-24 14:14:39,046 |OFBiz-batch-1        |DatabaseUtil                  |I| - max column name length    [63]
2023-11-24 14:14:39,046 |OFBiz-batch-3        |DatabaseUtil                  |I| - max column name length    [63]
2023-11-24 14:14:39,046 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-11-24 14:14:39,046 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-11-24 14:14:39,046 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-11-24 14:14:39,046 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-11-24 14:14:39,046 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-11-24 14:14:39,046 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-11-24 14:14:39,047 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-11-24 14:14:39,047 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-11-24 14:14:39,047 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-11-24 14:14:39,047 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-11-24 14:14:39,047 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-11-24 14:14:39,047 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-11-24 14:14:39,047 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-11-24 14:14:39,047 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-11-24 14:14:39,047 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-11-24 14:14:39,048 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-11-24 14:14:39,048 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-11-24 14:14:39,048 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-11-24 14:14:39,048 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-11-24 14:14:39,048 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-11-24 14:14:39,048 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-11-24 14:14:39,048 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-11-24 14:14:39,048 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-11-24 14:14:39,048 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-11-24 14:14:39,048 |OFBiz-batch-1        |DatabaseUtil                  |I| - outer joins               [true]*
2023-11-24 14:14:39,048 |OFBiz-batch-2        |DatabaseUtil                  |I| - outer joins               [true]*
2023-11-24 14:14:39,048 |OFBiz-batch-3        |DatabaseUtil                  |I| - outer joins               [true]*
2023-11-24 14:14:39,048 |OFBiz-batch-2        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-11-24 14:14:39,048 |OFBiz-batch-3        |DatabaseUtil                  |I| - limited outer joins       [true]
