2023-12-28 12:05:59,182 |jsse-nio-8443-exec-2 |NoModule                      |O| topicmaster...[GenericEntity:TopicMaster][createdStamp,2023-12-26 19:24:37.683(java.sql.Timestamp)][createdTxStamp,2023-12-26 19:24:37.679(java.sql.Timestamp)][lastUpdatedStamp,2023-12-27 22:52:35.748(java.sql.Timestamp)][lastUpdatedTxStamp,2023-12-27 22:52:35.733(java.sql.Timestamp)][topicId,20(java.lang.String)][topicName,Grammer(java.lang.String)]
2023-12-28 12:05:59,188 |jsse-nio-8443-exec-2 |NoModule                      |O| list of questions....[]
2023-12-28 12:06:17,776 |jsse-nio-8443-exec-5 |NoModule                      |O| examName is..English
2023-12-28 12:06:17,776 |jsse-nio-8443-exec-5 |NoModule                      |O| 20
2023-12-28 12:06:17,776 |jsse-nio-8443-exec-5 |NoModule                      |O| TopicName......Grammer
2023-12-28 12:06:17,776 |jsse-nio-8443-exec-5 |NoModule                      |O| 16
2023-12-28 12:06:17,776 |jsse-nio-8443-exec-5 |NoModule                      |O| TopicName......Punctuation
2023-12-28 12:06:17,777 |jsse-nio-8443-exec-5 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=20, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=20.00, topicName=Grammer}, {topicId=16, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=25.00, topicName=Punctuation}], genericvalue=[GenericEntity:ExamMaster][answersMust,null()][createdStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][createdTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][creationDate,null()][description,english language(java.lang.String)][durationMinutes,20(java.lang.Long)][enableNegativeMark,null()][examId,2(java.lang.String)][examName,English(java.lang.String)][expirationDate,null()][lastUpdatedStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][lastUpdatedTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][negativeMarkValue,null()][noOfQuestions,10(java.lang.Long)][passPercentage,35.00(java.math.BigDecimal)][questionsRandomized,null()]}
2023-12-28 12:06:20,664 |jsse-nio-8443-exec-4 |NoModule                      |O| ExamID:null
2023-12-28 12:06:20,671 |jsse-nio-8443-exec-4 |NoModule                      |O| listofexam  : {durationMinutes=20, questionsRandomized=null, noOfQuestions=10, examName=English, negativeMarkValue=null, examId=2, enableNegativeMark=null, description=english language, answersMust=null, creationDate=null, passPercentage=35.00, expirationDate=null}
2023-12-28 12:06:20,671 |jsse-nio-8443-exec-4 |NoModule                      |O| listofexam  : {durationMinutes=20, questionsRandomized=null, noOfQuestions=10, examName=Mathematics, negativeMarkValue=null, examId=3, enableNegativeMark=null, description=Mathematics language, answersMust=null, creationDate=null, passPercentage=35.00, expirationDate=null}
2023-12-28 12:06:20,671 |jsse-nio-8443-exec-4 |NoModule                      |O| listofexam  : {durationMinutes=20, questionsRandomized=null, noOfQuestions=10, examName=Socialscience, negativeMarkValue=null, examId=4, enableNegativeMark=null, description=Socialscience language, answersMust=null, creationDate=null, passPercentage=35.00, expirationDate=null}
2023-12-28 12:06:20,671 |jsse-nio-8443-exec-4 |NoModule                      |O| listofexam  : {durationMinutes=null, questionsRandomized=null, noOfQuestions=null, examName=computer programming, negativeMarkValue=null, examId=1, enableNegativeMark=null, description=java programming, answersMust=null, creationDate=null, passPercentage=null, expirationDate=null}
2023-12-28 12:06:20,671 |jsse-nio-8443-exec-4 |NoModule                      |O| listofexam  : {durationMinutes=30, questionsRandomized=y, noOfQuestions=10, examName=html language, negativeMarkValue=null, examId=5, enableNegativeMark=null, description=front end language, answersMust=y, creationDate=2023-11-23 00:00:00.0, passPercentage=35.00, expirationDate=2023-12-04 00:00:00.0}
2023-12-28 12:06:20,671 |jsse-nio-8443-exec-4 |NoModule                      |O| listofexam  : {durationMinutes=30, questionsRandomized=y, noOfQuestions=10, examName=css language, negativeMarkValue=0.25, examId=6, enableNegativeMark=y, description=front end language, answersMust=y, creationDate=2023-11-23 00:00:00.0, passPercentage=35.00, expirationDate=2023-12-04 00:00:00.0}
2023-12-28 12:06:20,671 |jsse-nio-8443-exec-4 |NoModule                      |O| listofexam  : {durationMinutes=60, questionsRandomized=Y, noOfQuestions=10, examName=Reactjs, negativeMarkValue=1.00, examId=7, enableNegativeMark=Y, description=Reactjavascrit, answersMust=Y, creationDate=2023-12-20 00:00:00.0, passPercentage=25.00, expirationDate=2023-12-25 00:00:00.0}
