2023-12-20 18:07:42,509 |main                 |ControlServlet                |I| Loading webapp [myportal], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\myportal\webapp\myportal\
2023-12-20 18:07:42,531 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 10 requests, 7 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/myportal/webapp/myportal/WEB-INF/controller.xml
2023-12-20 18:07:42,584 |main                 |ServiceDispatcher             |I| Registering dispatcher: firstdatapaymentgateway
2023-12-20 18:07:42,584 |main                 |ServiceContainer              |I| Created new dispatcher: firstdatapaymentgateway
2023-12-20 18:07:42,585 |main                 |ControlServlet                |I| Loading webapp [firstdata], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\firstdatapaymentgateway\webapp\firstdata\
2023-12-20 18:07:42,612 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 2 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/firstdatapaymentgateway/webapp/firstdata/WEB-INF/controller.xml
2023-12-20 18:07:42,643 |main                 |ServiceDispatcher             |I| Registering dispatcher: webpos
2023-12-20 18:07:42,643 |main                 |ServiceContainer              |I| Created new dispatcher: webpos
2023-12-20 18:07:42,644 |main                 |ControlServlet                |I| Loading webapp [webpos], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\webpos\webapp\webpos\
2023-12-20 18:07:42,666 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 69 requests, 22 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/webpos/webapp/webpos/WEB-INF/controller.xml
2023-12-20 18:07:42,691 |main                 |ServiceDispatcher             |I| Registering dispatcher: onlineexam
2023-12-20 18:07:42,691 |main                 |ServiceContainer              |I| Created new dispatcher: onlineexam
2023-12-20 18:07:42,692 |main                 |ControlServlet                |I| Loading webapp [onlineexam], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\onlineexam\webapp\onlineexam\
2023-12-20 18:07:42,712 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 20 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-20 18:07:42,769 |main                 |ServiceDispatcher             |I| Registering dispatcher: catalog
2023-12-20 18:07:42,770 |main                 |ServiceContainer              |I| Created new dispatcher: catalog
2023-12-20 18:07:42,772 |main                 |ControlServlet                |I| Loading webapp [catalog], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\product\webapp\catalog\
2023-12-20 18:07:42,797 |main                 |ServiceDispatcher             |I| Registering dispatcher: setup
2023-12-20 18:07:42,797 |main                 |ServiceContainer              |I| Created new dispatcher: setup
2023-12-20 18:07:42,798 |main                 |ControlServlet                |I| Loading webapp [ofbizsetup], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\commonext\webapp\ofbizsetup\
2023-12-20 18:07:42,821 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 32 requests, 15 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/webapp/ofbizsetup/WEB-INF/controller.xml
2023-12-20 18:07:42,891 |main                 |CatalinaContainer             |I| Connector AJP/1.3 @ 8009 - not-secure [org.apache.coyote.ajp.AjpNioProtocol] started.
2023-12-20 18:07:42,891 |main                 |CatalinaContainer             |I| Connector HTTP/1.1 @ 8080 - not-secure [org.apache.coyote.http11.Http11NioProtocol] started.
2023-12-20 18:07:42,891 |main                 |CatalinaContainer             |I| Connector HTTP/1.1 @ 8443 - secure [org.apache.coyote.http11.Http11NioProtocol] started.
2023-12-20 18:07:42,892 |main                 |CatalinaContainer             |I| Started Apache Tomcat/9.0.82
2023-12-20 18:07:42,892 |main                 |ContainerLoader               |I| Started container catalina-container
