2023-12-19 14:36:56,191 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-19 14:36:56,191 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-19 14:36:56,191 |OFBiz-batch-2        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-19 14:36:56,191 |OFBiz-batch-2        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-19 14:36:56,191 |OFBiz-batch-2        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-19 14:36:56,191 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-19 14:36:56,192 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-19 14:36:56,192 |OFBiz-batch-2        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-19 14:36:56,192 |OFBiz-batch-2        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-19 14:36:56,192 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-12-19 14:36:56,192 |OFBiz-batch-2        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-19 14:36:56,192 |OFBiz-batch-2        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-19 14:36:56,192 |OFBiz-batch-3        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-19 14:36:56,192 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-19 14:36:56,193 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-19 14:36:56,193 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-19 14:36:56,193 |OFBiz-batch-2        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-19 14:36:56,193 |OFBiz-batch-2        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-19 14:36:56,193 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-19 14:36:56,194 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-19 14:36:56,195 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-19 14:36:56,196 |OFBiz-batch-3        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-19 14:36:56,196 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-19 14:36:56,197 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-19 14:36:56,197 |OFBiz-batch-1        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-19 14:36:56,198 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-19 14:36:56,200 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores MixedCase          [false]
