2023-11-29 00:23:32,440 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15147] -- Next runtime: Wed Nov 29 00:38:32 IST 2023
2023-11-29 00:23:33,164 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [724] milliseconds
2023-11-29 00:24:32,468 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15149] -- Next runtime: Wed Nov 29 00:39:32 IST 2023
2023-11-29 00:24:32,477 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15148] -- Next runtime: Wed Nov 29 00:39:32 IST 2023
2023-11-29 00:24:33,216 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [748] milliseconds
2023-11-29 00:24:33,938 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1461] milliseconds
2023-11-29 09:14:27,911 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15150] -- Next runtime: Wed Nov 29 09:29:27 IST 2023
2023-11-29 09:14:27,965 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15151] -- Next runtime: Wed Nov 29 09:29:27 IST 2023
2023-11-29 09:14:28,681 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [770] milliseconds
2023-11-29 09:14:28,686 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15152] -- Next runtime: Wed Nov 29 09:29:28 IST 2023
2023-11-29 09:14:28,688 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2] milliseconds
2023-11-29 09:14:28,693 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15106] -- Next runtime: Wed Nov 29 10:14:28 IST 2023
2023-11-29 09:14:28,710 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-29 09:14:29,369 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1404] milliseconds
2023-11-29 09:14:29,419 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15108] -- Next runtime: Wed Nov 29 10:14:29 IST 2023
2023-11-29 09:14:29,420 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-29 09:14:29,455 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [745] milliseconds
2023-11-29 09:14:29,456 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-29 09:14:29,456 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [763] milliseconds
2023-11-29 09:14:29,527 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [107] milliseconds
2023-11-29 09:14:29,528 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-29 09:14:29,528 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [109] milliseconds
2023-11-29 09:14:30,132 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1439] milliseconds
2023-11-29 09:14:30,136 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15107] -- Next runtime: Wed Nov 29 10:14:30 IST 2023
2023-11-29 09:14:30,137 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-29 09:14:30,138 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-29 09:14:30,138 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [2] milliseconds
2023-11-29 09:14:30,144 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [8] milliseconds
2023-11-29 09:14:30,622 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1203] milliseconds
2023-11-29 09:29:28,445 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15154] -- Next runtime: Wed Nov 29 09:44:28 IST 2023
2023-11-29 09:29:28,459 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15153] -- Next runtime: Wed Nov 29 09:44:28 IST 2023
2023-11-29 09:29:30,024 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1578] milliseconds
2023-11-29 09:29:31,415 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2956] milliseconds
2023-11-29 09:29:58,498 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15155] -- Next runtime: Wed Nov 29 09:44:58 IST 2023
2023-11-29 09:29:59,914 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1416] milliseconds
2023-11-29 09:53:44,740 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15159] -- Next runtime: Wed Nov 29 10:08:44 IST 2023
2023-11-29 09:53:44,794 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15160] -- Next runtime: Wed Nov 29 10:08:44 IST 2023
2023-11-29 09:53:45,499 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [759] milliseconds
2023-11-29 09:53:45,549 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15161] -- Next runtime: Wed Nov 29 10:08:45 IST 2023
2023-11-29 09:53:45,552 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [3] milliseconds
2023-11-29 09:53:46,199 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1405] milliseconds
2023-11-29 10:08:45,237 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15162] -- Next runtime: Wed Nov 29 10:23:45 IST 2023
2023-11-29 10:08:45,241 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15163] -- Next runtime: Wed Nov 29 10:23:45 IST 2023
2023-11-29 10:08:47,561 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2324] milliseconds
2023-11-29 10:08:49,577 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [4336] milliseconds
2023-11-29 10:09:15,307 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15164] -- Next runtime: Wed Nov 29 10:24:15 IST 2023
2023-11-29 10:09:18,189 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2882] milliseconds
2023-11-29 10:14:45,594 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15156] -- Next runtime: Wed Nov 29 11:14:45 IST 2023
2023-11-29 10:14:45,612 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15157] -- Next runtime: Wed Nov 29 11:14:45 IST 2023
2023-11-29 10:14:45,675 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-29 10:14:45,688 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-29 10:14:46,070 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [395] milliseconds
2023-11-29 10:14:46,072 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-29 10:14:46,072 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [477] milliseconds
