2023-11-24 12:36:43,470 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/performFind] finished in [14] milliseconds
2023-11-24 12:36:43,864 |jsse-nio-8443-exec-1 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2023-11-24 12:36:44,054 |jsse-nio-8443-exec-1 |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-24 12:36:44,268 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [213] milliseconds
2023-11-24 12:36:44,304 |jsse-nio-8443-exec-1 |UtilProperties                |I| ResourceBundle DefaultMessagesUiLabels (en_US) created in 0.034s with 11 properties
2023-11-24 12:36:44,305 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [441] milliseconds
2023-11-24 12:36:44,380 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Done- total:1.769,since last([webtools::entity...):1.769]]
2023-11-24 12:36:50,750 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[webtools::entitymaint (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-11-24 12:36:50,787 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.001s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-11-24 12:36:50,788 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.009s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-11-24 12:36:50,801 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.002s, 26 requests, 10 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/portal-controller.xml
2023-11-24 12:36:50,814 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.002s, 30 requests, 13 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/security-controller.xml
2023-11-24 12:36:50,825 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.001s, 5 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
